Title,cover_url
Everything I Never Told You,http://books.google.com/books/content?id=3dKKDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Sputnik Sweetheart,http://books.google.com/books/content?id=pw1icrp657kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Doors of Perception / Heaven & Hell,http://books.google.com/books/content?id=JKP2AAAACAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Brief History of Time,http://books.google.com/books/content?id=oZhagX6UWOMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Latinos of Asia,http://books.google.com/books/content?id=XTkyCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Under Alien Skies,http://books.google.com/books/content?id=mndwEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Water Dancer,http://books.google.com/books/content?id=g08EEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Good Omens,http://books.google.com/books/content?id=7erEbfDOcgkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Heartbreaking Work of Staggering Genius,http://books.google.com/books/content?id=OSfpEJpJzrIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,http://books.google.com/books/content?id=C3rksgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Correction,http://books.google.com/books/content?id=M4iYFHXMMnYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Emigrants,http://books.google.com/books/content?id=enNcAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1Q84 - Part 1,https://books.google.com/books/content?id=CPPxMXgaKhAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1Q84 - Part 2,https://books.google.com/books/content?id=CPPxMXgaKhAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1Q84 - Part 3,https://books.google.com/books/content?id=CPPxMXgaKhAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Wisdom of Insecurity,http://books.google.com/books/content?id=lg6HCFEvx-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Order of Time,http://books.google.com/books/content?id=POi9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Horus Rising (Horus Heresy #1),http://books.google.com/books/content?id=39BRnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
False Gods (Horus Heresy #2),http://books.google.com/books/content?id=-qmZoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Galaxy in Flames (Horus Heresy #3),http://books.google.com/books/content?id=LMmWoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Flight of the Eisenstein (Horus Heresy #4),http://books.google.com/books/content?id=fgmJoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Fulgrim (Horus Heresy #5),http://books.google.com/books/content?id=B09PEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Reflection Crack'd,https://books.google.com/books/content?id=Y840rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Kryptos,https://books.google.com/books/content?id=aKoXrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Angel Exterminatus (Horus Heresy #23),https://books.google.com/books/content?id=8iu-NAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Imperfect,https://books.google.com/books/content?id=FPGojwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Chiurgeon,https://books.google.com/books/content?id=FPGojwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Descent of Angels (Horus Heresy #6),http://books.google.com/books/content?id=SX1DvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Call of the Lion,https://books.google.com/books/content?id=eWQaPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
